,industry_id,industry
0,"('Agriculture',)",392322.2651112915
1,"('Livestock',)",543458.0803751469
2,"('Forestry and Logging',)",194565.4268549583
3,"('Fishing & Aquaculture',)",46654.11936231373
4,"('Coal & Lignite',)",271234.0999172212
5,"('Crude Petroleum',)",721680.5258184511
6,"('Natural Gas',)",259695.8833790045
7,"('Iron Ores',)",221118.5472390392
8,"('Non ferrous metal ores',)",62214.87642691433
9,"('Other Mining',)",167864.09383509075
10,"('Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats',)",231552.78148420298
11,"('Manufacture of dairy products',)",27012.144109660792
12,"('Manufacture of grain mill products, etc. and animal feeds',)",456668.3155239843
13,"('Manufacture of other food products',)",119163.0653877769
14,"('Manufacture of beverages',)",91979.63878917965
15,"('Manufacture of tobacco products',)",267438.81855700805
16,"('Manufacture of textiles + cotton ginning',)",678725.743401643
17,"('Manufacture of wearing apparel, except custom tailoring',)",315363.32524805504
18,"('Manufacture of leather and related products',)",67230.55482291152
19,"('Manufacture of Basic Iron and Steel + Casting of iron and steel',)",3772530.630402559
20,"('Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals',)",705593.54314829
21,"('Manufacture of fabricated metal products, except machinery and equipments',)",1275934.7393806295
22,"('Manufacture of electronic component, consumer electronics, magnetic and optical media',)",549794.6804964484
23,"('Manufacture of computer and peripheral equipment',)",593706.972613903
24,"('Manufacture of communication equipments',)",414419.15881739033
25,"('Manufacture of optical and electronics products n.e.c',)",186718.41558857186
26,"('Manufacture of Electrical equipments',)",2314169.4213505546
27,"('Manufacture of machinery and equipments n.e.c',)",4455126.448699177
28,"('Manufacture of Transport',)",3434945.3222452453
29,"('Manufacture of coke and refined petroleum products',)",1324806.3663596255
30,"(' Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products',)",3762118.65133142
31,"('Manufacture of pharmaceutical; medicinal chemicals and botanical products',)",657933.1281229593
32,"('Manufacture of rubber & plastic products',)",1261900.8049705925
33,"('Manufacture of other non-metallic mineral products',)",456038.77215732745
34,"('Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material',)",161592.129407404
35,"('Manufacture of paper and paper products',)",277792.36359929654
36,"('Printing and reproduction of recorded media except publishing',)",227589.86600077277
37,"('Manufacture of furniture',)",177239.96804243667
38,"('Other Manufacturing',)",2472421.847354451
39,"('Repair and installation of machinery and equipments',)",67632.66551652474
40,"('Construction',)",4723797.5654738825
41,"('Electricity',)",1498766.3753390524
42,"('Gas',)",354262.4684352612
43,"('Water supply',)",155854.45262034252
44,"('Railway Transport',)",264931.74794034386
45,"('Land Transport',)",1192964.0979981115
46,"('Water Transport',)",277479.46479046514
47,"('Air Transport',)",373985.1145028351
48,"('Supportive & Auxilliary transport activities',)",384539.2733989935
49,"('Storage & warehousing',)",43059.78750077927
50,"('Communication',)",2052681.0474428218
51,"('Trade',)",958754.1780602506
52,"('Hotels & Restaurant',)",345417.7785282346
53,"('Financial Services',)",682917.8533812197
54,"('Insurance Services',)",174836.2922708558
55,"('Ownership of dwellings',)",21087.481391757257
56,"('Education & Research',)",1037171.2890894652
57,"('Medical and Health',)",179406.46889516778
58,"('Legal Services',)",51565.66501211155
59,"('Computer related services',)",1687346.8124833857
60,"('Other Business services',)",1029092.0066198289
61,"('Real estate activities',)",214814.02889762382
62,"('Renting of machinery and equipment',)",57316.438523383666
63,"('Community, Social & personal services',)",349130.23756046366
64,"('Other services',)",833366.6860963387
65,"('Public admn. & defence',)",1003481.417130179
